ambotric	Amborella trochopoda	basal angiosperm
aquicoer	Aquilegia coerulea	columbine
arablyra	Arabidopsis lyrata	lyreleaf rockcress
arabthal	Arabidopsis thaliana	mouse ear cress
astespec	Asterochloris sp.	algae
bracdist	Brachypodium distachyon	 purple false brome
branflor	Branchiostoma floridae	lancelet
brasrapa	Brassica rapa		rapeseed, chinese cabbage
caeneleg	Caenorhabditis  elegans	nematode
cajacaja	Cajanus cajanifolius	pigeonpea
caripapa	Carica papaya		papaya
chlospec	Chlorella sp.		algae
cicearie	Cicer arietinum		chickpea
cioninte	Ciona intestinalis	ea squirt
citrclem	Citrus clementina	mandarin orange
citrlana	Citrulus lanatus	watermelon
citrsine	Citrus sinensis		sweet orange
coccspec	Coccomyxa sp.		algae
cochhete	Cochliobolus heterostrophus	fungi
crypneof	Cryptococcus neoformans	fungi
cucusati	Citrulus lanatus	cucumber
danireri	Danio rerio		zebrafish
dictdisc	Dictyostelium discoideum	slime mold
drosmela	Drosophila melanogaster	fruit fly
eucagran	Eucalyptus grandis	Flooded gum
eutrsals	Eutrema salsugineum	salt cress
fragvesc	Fragaria vesca		wild srawberry
glycmax_	Glycine max 		soy bean
gossraim	Gossypium raimondii	cotton
homosapi	Homo sapiens		human
jatrcurc	Jatropha curcas		jatropha
lottgiga	Lottia gigantea		owl limpet
lotujapo	Lotus japonicus		model legume
magngrisa	Magnaporthe grisea	fungi
maniescu	Manihot esculenta	cassava
meditrun	Medicago truncatula	barrel medic
micrspec	Micromonas sp.
mimugutt	Mimulus guttatus	monkeyflower
musaacum	Musa acuminata		banana
necthaem	Nectria haematococca	fungi
neurcras	Neurospora crassa	fungi
oryzsati	Oryza sativa		rice
ostrspec	Ostreococcus sp.	algae
phasvulg	Phaseolus vulgaris	bean
phylhete	Phyllostachys heterocycla	moso bamboo
physpate	Physcomitrella patens	moss
poputric	Populus trichocarpa	poplar
prunpers	Prunus persica		peach
ricicomm	Ricinus communis	castor bean
selamoel	Selaginella moellendorffii	lycophyte
solalyco	Solanum lycopersicum	tomato
solatube	Solanum tuberosum	ptato
sorgbico	Sorghum bicolor		sorghum
stropurp	Strongylocentrotus purpuratus	sea urchin
thelhalo	Thellungiella halophila	salt cress
theocaca	Theobroma cacao		cacao
vitivini	Vitis vinifera		grape
volvcart	Volvox carteri		volvox
zea_mays	Zea mays		maize, corn
